Title,Link,Grade,Contact,Points,Description,Cost,Type,Standards Connections,Tracks
"Sewershed Mapping Activity","https://refloh2o.com/sewershed-mapping-activity","7-12","[Lisa Neeb](mailto:lisa.neeb@refloh2o.com), Green & Healthy Schools Project Manager","50/group map","The benefits of green infrastructure extend beyond stormwater management. The planning effort to support green infrastructure installation near schoolyards itself can involve students, teachers, and community members. In this activity, students conduct a sewershed assessment to document the potential pollution sources within a school’s sewershed, map the boundaries of the sewershed, and gather information to estimate the size of conceptual green infrastructure that may be possible to help manage the stormwater that falls on the site. This information is then integrated with Google Earth to create a map and visual story of the site’s water quality, quantity and opportunity to manage stormwater more effectively.",,"Classroom Presentation",,"Watersheds, Stormwater & Green Infrastructure"
"Virtual Water Table","http://refloh2o.com/mke-waterscape-table/","K-12","[Lisa Neeb](mailto:lisa.neeb@refloh2o.com?subject=Ecoliteracy%20Challenge), Green & Healthy Schools Project Manager","500/visit","The Virtual Water Table, created by the nonprofit Reflo – Sustainable Water Solutions, is a versatile and dynamic mobile venue available for schools to rent and engage students in hands-on learning. Toggle the table through three engagement modes: Sandbox, Map, and Game. Sandbox mode projects an interactive contour map onto a sandbox—complete with flowing digital water. Map mode projects the Milwaukee Community Map in Google Earth. Game mode features the MKE Waterscape Game, where five players role-play through scenarios inspired by Milwaukee’s water history. [Click here](mailto:lisa.neeb@refloh2o.com?subject=Ecoliteracy%20Challenge) for more information or to reserve the table.",,"Classroom Presentation",,"Lakes, Rivers, Watersheds, Water Cycle & Quality, Stormwater & Green Infrastructure"
"Virtual Water Table","http://refloh2o.com/mke-waterscape-table/","K-12","[Lisa Neeb](mailto:lisa.neeb@refloh2o.com?subject=Ecoliteracy%20Challenge), Green & Healthy Schools Project Manager","500/visit","The Virtual Water Table, created by the nonprofit Reflo – Sustainable Water Solutions, is a versatile and dynamic mobile venue available for schools to rent and engage students in hands-on learning. Toggle the table through three engagement modes: Sandbox, Map, and Game. Sandbox mode projects an interactive contour map onto a sandbox—complete with flowing digital water. Map mode projects the Milwaukee Community Map in Google Earth. Game mode features the MKE Waterscape Game, where five players role-play through scenarios inspired by Milwaukee’s water history. [Click here](mailto:lisa.neeb@refloh2o.com?subject=Ecoliteracy%20Challenge) for more information or to reserve the table.",,"Classroom Presentation",,"Lakes, Rivers, Watersheds, Water Cycle & Quality, Stormwater & Green Infrastructure"
"Water Across the Curriculum Resource Guide","https://www.gscm.refloh2o.com/s/WAC.pdf","PreK-12","[christine.fleming@marquette.edu](mailto:christine.fleming@marquette.edu)","varies","The Water Across the Curriculum (WAC) resource guide provides activities designed to integrate the diverse arts of the Haggerty Museum of Art (HMA) collection into your classroom to support skills and concepts that you are already teaching, or that you may be planning to teach. Thematic chapters introduce students to HMA artworks through grade-appropriate activities that encourage them to think critically, to express themselves creatively, and to make connections between their own lives and WATER. Click here for [more information](https://www.marquette.edu/haggerty/educational-educators.php).",,"Curriculum",,"Lakes, Rivers, Watersheds, Conservation, Water Cycle & Quality"
"Water Across the Curriculum Resource Guide","https://www.gscm.refloh2o.com/s/WAC.pdf","PreK-12","[christine.fleming@marquette.edu](mailto:christine.fleming@marquette.edu)","varies","The Water Across the Curriculum (WAC) resource guide provides activities designed to integrate the diverse arts of the Haggerty Museum of Art (HMA) collection into your classroom to support skills and concepts that you are already teaching, or that you may be planning to teach. Thematic chapters introduce students to HMA artworks through grade-appropriate activities that encourage them to think critically, to express themselves creatively, and to make connections between their own lives and WATER. Click here for [more information](https://www.marquette.edu/haggerty/educational-educators.php).",,"Field Trip",,"Lakes, Rivers, Watersheds, Conservation, Water Cycle & Quality"
"Water Across the Curriculum Resource Guide","https://www.gscm.refloh2o.com/s/WAC.pdf","PreK-12","[christine.fleming@marquette.edu](mailto:christine.fleming@marquette.edu)","varies","The Water Across the Curriculum (WAC) resource guide provides activities designed to integrate the diverse arts of the Haggerty Museum of Art (HMA) collection into your classroom to support skills and concepts that you are already teaching, or that you may be planning to teach. Thematic chapters introduce students to HMA artworks through grade-appropriate activities that encourage them to think critically, to express themselves creatively, and to make connections between their own lives and WATER. Click here for [more information](https://www.marquette.edu/haggerty/educational-educators.php).",,"Classroom Presentation",,"Lakes, Rivers, Watersheds, Conservation, Water Cycle & Quality"
"Water Across the Curriculum Resource Guide","https://gscmreflo.squarespace.com/s/WAC.pdf","PreK-12","[christine.fleming@marquette.edu](mailto:christine.fleming@marquette.edu)","varies","The Water Across the Curriculum (WAC) resource guide provides activities designed to integrate the diverse arts of the Haggerty Museum of Art (HMA) collection into your classroom to support skills and concepts that you are already teaching, or that you may be planning to teach. Thematic chapters introduce students to HMA artworks through grade-appropriate activities that encourage them to think critically, to express themselves creatively, and to make connections between their own lives and WATER. Click here for [more information](https://www.marquette.edu/haggerty/educational-educators.php).",,"Curriculum",,"Lakes, Rivers, Watersheds, Conservation, Water Cycle & Quality"
"Water Across the Curriculum Resource Guide","https://www.gscm.refloh2o.com/s/WAC.pdf","PreK-12","[christine.fleming@marquette.edu](mailto:christine.fleming@marquette.edu)","varies","The Water Across the Curriculum (WAC) resource guide provides activities designed to integrate the diverse arts of the Haggerty Museum of Art (HMA) collection into your classroom to support skills and concepts that you are already teaching, or that you may be planning to teach. Thematic chapters introduce students to HMA artworks through grade-appropriate activities that encourage them to think critically, to express themselves creatively, and to make connections between their own lives and WATER. Click here for [more information](https://www.marquette.edu/haggerty/educational-educators.php).",,"Field Trip",,"Lakes, Rivers, Watersheds, Conservation, Water Cycle & Quality"
"Water Across the Curriculum Resource Guide","https://www.gscm.refloh2o.com/s/WAC.pdf","PreK-12","[christine.fleming@marquette.edu](mailto:christine.fleming@marquette.edu)","varies","The Water Across the Curriculum (WAC) resource guide provides activities designed to integrate the diverse arts of the Haggerty Museum of Art (HMA) collection into your classroom to support skills and concepts that you are already teaching, or that you may be planning to teach. Thematic chapters introduce students to HMA artworks through grade-appropriate activities that encourage them to think critically, to express themselves creatively, and to make connections between their own lives and WATER. Click here for [more information](https://www.marquette.edu/haggerty/educational-educators.php).",,"Classroom Presentation",,"Lakes, Rivers, Watersheds, Conservation, Water Cycle & Quality"
"Water Curriculum and Kids Activities Toolkit","https://amwater.com/ilaw/water-information/water-learning-center/water-curriculum-kids-activities","5-12",,"10/activity","Learning about water – where it comes from, how it is treated and delivered, and what is required to keep it flowing – is key to understanding the value of water. Behind the scenes, scientists, environmentalists, and water quality experts work hard to make sure water customers have the high-quality water they need and expect. The [Education Toolkit](https://amwater.com/ilaw/water-information/water-learning-center/water-curriculum-kids-activities) consists of 12 lesson plans to help teach young people about the importance of water in their lives and how to conserve it for future generations.",,"Curriculum",,"Watersheds, Conservation"
"Water Curriculum and Kids Activities Toolkit","https://amwater.com/ilaw/water-information/water-learning-center/water-curriculum-kids-activities","5-12",,"10/activity","Learning about water – where it comes from, how it is treated and delivered, and what is required to keep it flowing – is key to understanding the value of water. Behind the scenes, scientists, environmentalists, and water quality experts work hard to make sure water customers have the high-quality water they need and expect. The [Education Toolkit](https://amwater.com/ilaw/water-information/water-learning-center/water-curriculum-kids-activities) consists of 12 lesson plans to help teach young people about the importance of water in their lives and how to conserve it for future generations.",,"Curriculum",,"Watersheds, Conservation"
"Water Journeys","","3-12",,"20/journey reported","NEXT.cc is an educational nonprofit that offers information, object, experience and environmental activities connected to larger earth, air, water and energy systems. NEXT.cc’s journeys introduce activities online, in the classroom, in the community and globally. Explore any of the Water Journeys: [water](http://www.next.cc/journey/tools/water); [waves](http://www.next.cc/journey/tools/waves); [watershed](http://www.next.cc/journey/language/watershed); [water quality](http://www.next.cc/journey/language/water-quality); [water conservation](http://www.next.cc/journey/discovery/water-conservation); [precipitation](http://www.next.cc/journey/language/precipitation); [rainwater harvesting](http://www.next.cc/journey/design/rain-water-harvesting); [rain gardens](http://www.next.cc/journey/design/rain-gardens); [acid rain;](http://www.next.cc/journey/discovery/rain) [clouds](http://www.next.cc/journey/language/clouds); [climate](http://www.next.cc/journey/discovery/climate); [rivers](http://www.next.cc/journey/discovery/rivers); [great lakes](http://www.next.cc/journey/design/great-lakes); [aquaponics](http://www.next.cc/journey/design/aquaponics); [fish](http://www.next.cc/journey/language/fish); [green roofs](http://www.next.cc/journey/design/green-roofs); [urban agriculture](http://www.next.cc/journey/design/urban-agriculture).",,"Curriculum","NAAEE, NGSS Primary (K-2), NGSS Elementary (3-5), NGSS Middle School, WI Art and Design Standards","Lakes, Rivers, Watersheds, Conservation, Water Cycle & Quality, Stormwater & Green Infrastructure"
"Water Journeys","","3-12",,"20/journey reported","NEXT.cc is an educational nonprofit that offers information, object, experience and environmental activities connected to larger earth, air, water and energy systems. NEXT.cc’s journeys introduce activities online, in the classroom, in the community and globally. Explore any of the Water Journeys: [water](http://www.next.cc/journey/tools/water); [waves](http://www.next.cc/journey/tools/waves); [watershed](http://www.next.cc/journey/language/watershed); [water quality](http://www.next.cc/journey/language/water-quality); [water conservation](http://www.next.cc/journey/discovery/water-conservation); [precipitation](http://www.next.cc/journey/language/precipitation); [rainwater harvesting](http://www.next.cc/journey/design/rain-water-harvesting); [rain gardens](http://www.next.cc/journey/design/rain-gardens); [acid rain](http://www.next.cc/journey/discovery/rain); [clouds](http://www.next.cc/journey/language/clouds); [climate](http://www.next.cc/journey/discovery/climate); [rivers](http://www.next.cc/journey/discovery/rivers); [great lakes](http://www.next.cc/journey/design/great-lakes); [aquaponics](http://www.next.cc/journey/design/aquaponics); [fish](http://www.next.cc/journey/language/fish); [green roofs](http://www.next.cc/journey/design/green-roofs); [urban agriculture](http://www.next.cc/journey/design/urban-agriculture).",,"Curriculum","NAAEE, NGSS Primary (K-2), NGSS Elementary (3-5), NGSS Middle School, WI Art and Design Standards","Lakes, Rivers, Watersheds, Conservation, Water Cycle & Quality, Stormwater & Green Infrastructure"
"Wavemaker Program","https://www.drinklocaldrinktap.org/wp-content/uploads/2016/12/Wavemaker-Kit-condensed.pdf","4-7",,"10/activity","The Wavemaker Program can be used to guide educators in some basic steps to inspire students to think about becoming better water stewards.",,"Curriculum",,"Conservation"
"Wavemaker Program","https://www.drinklocaldrinktap.org/wp-content/uploads/2016/12/Wavemaker-Kit-condensed.pdf","4-7",,"10/activity","The Wavemaker Program can be used to guide educators in some basic steps to inspire students to think about becoming better water stewards.",,"Curriculum",,"Conservation"
